Size, Type, Time
100, "Sequential", 0.000017
100, "Parallel", 0.014349
100, "Built-in", 0.000022
100, "Sequential", 0.000015
100, "Parallel", 0.008839
100, "Built-in", 0.000021
100, "Sequential", 0.000016
100, "Parallel", 0.021281
100, "Built-in", 0.000022
100, "Sequential", 0.000015
100, "Parallel", 0.014485
100, "Built-in", 0.000023
100, "Sequential", 0.000016
100, "Parallel", 0.012077
100, "Built-in", 0.000022
1000, "Sequential", 0.000184
1000, "Parallel", 0.073963
1000, "Built-in", 0.000179
1000, "Sequential", 0.000184
1000, "Parallel", 0.078219
1000, "Built-in", 0.000179
1000, "Sequential", 0.000200
1000, "Parallel", 0.078779
1000, "Built-in", 0.000229
1000, "Sequential", 0.000205
1000, "Parallel", 0.130143
1000, "Built-in", 0.000182
1000, "Sequential", 0.000235
1000, "Parallel", 0.069560
1000, "Built-in", 0.000180
10000, "Sequential", 0.002761
10000, "Parallel", 0.186507
10000, "Built-in", 0.012865
10000, "Sequential", 0.002562
10000, "Parallel", 0.214917
10000, "Built-in", 0.002415
10000, "Sequential", 0.002658
10000, "Parallel", 0.173661
10000, "Built-in", 0.002511
10000, "Sequential", 0.002828
10000, "Parallel", 0.493534
10000, "Built-in", 0.003669
10000, "Sequential", 0.002839
10000, "Parallel", 0.313099
10000, "Built-in", 0.002748
100000, "Sequential", 0.039694
100000, "Parallel", 0.606616
100000, "Built-in", 0.034511
100000, "Sequential", 0.036011
100000, "Parallel", 0.353198
100000, "Built-in", 0.038018
100000, "Sequential", 0.036003
100000, "Parallel", 0.466041
100000, "Built-in", 0.064985
100000, "Sequential", 0.040893
100000, "Parallel", 0.508621
100000, "Built-in", 0.139001
100000, "Sequential", 0.045909
100000, "Parallel", 0.318260
100000, "Built-in", 0.046152
1000000, "Sequential", 0.553988
1000000, "Parallel", 0.792171
1000000, "Built-in", 0.412536
1000000, "Sequential", 0.503946
1000000, "Parallel", 0.675517
1000000, "Built-in", 0.491175
1000000, "Sequential", 0.538533
1000000, "Parallel", 1.243955
1000000, "Built-in", 0.704721
1000000, "Sequential", 0.487069
1000000, "Parallel", 0.583133
1000000, "Built-in", 0.507700
1000000, "Sequential", 0.558737
1000000, "Parallel", 1.262293
1000000, "Built-in", 0.637642
